Start,End,Multiday,ID,Name,Type,Description,Location,Camp,Camp website,Email,Event website
"08/27/2023, 6:00 PM","08/27/2023, 6:15 PM",N,44530,De-Compression Practice -- drink 'n talk circle,Gathering/Party,Come chill at our puddle after the Temple Burn. A Honey Puddle tradition.,Honey Puddle,Honey Puddle,,,https://playaevents.burningman.org/2023/playa_event/44530/
"08/27/2023, 6:00 PM","08/27/2023, 8:00 PM",N,41799,Ecstatic Dance Hyper Soul Dance,Yoga/Movement/Fitness,Hyper Soul is a style of house music that fuses Afro Caribbean funk and soul grooves,Camp Contact,Camp Contact,http://campcontact.org,events@campcontact.org,https://playaevents.burningman.org/2023/playa_event/41799/
"08/27/2023, 6:00 PM","08/27/2023, 11:45 PM",N,44678,Drama Prevention Darkwad Station,Miscellaneous,"Go to the Light, or come to the Drama Dome to get some light-up swag.",AdramaNation,AdramaNation,https://camp-adramanation.squarespace.com/,,https://playaevents.burningman.org/2023/playa_event/44678/
"08/27/2023, 6:00 PM","08/27/2023, 11:45 PM",N,44684,Drama Dump & Gift,Self Care,Got drama? Are campmates making you crazy? Playa overwhelming you? come to the drama dump and lounge.,AdramaNation,AdramaNation,https://camp-adramanation.squarespace.com/,,https://playaevents.burningman.org/2023/playa_event/44684/
"08/27/2023, 6:00 PM","08/27/2023, 11:45 PM",N,44687,Take One / Leave One,Miscellaneous,Reach into our box to Deposit or receive surprise.,AdramaNation,AdramaNation,https://camp-adramanation.squarespace.com/,,https://playaevents.burningman.org/2023/playa_event/44687/
"08/27/2023, 6:00 PM","08/27/2023, 11:45 PM",N,44690,Make Me Go Tea Tea Hydration Station,Food & Drink,Don’t dry out in the hot sun Nothing beats a nice glass of our famous rose-mint herbal tea.,AdramaNation,AdramaNation,https://camp-adramanation.squarespace.com/,,https://playaevents.burningman.org/2023/playa_event/44690/
"08/27/2023, 6:00 PM","08/27/2023, 6:15 PM",N,44694,Energywork: Blessing of the Space,Ritual/Ceremony,An opening ceremony,Lumi-Dance,Lumi-Dance,,,https://playaevents.burningman.org/2023/playa_event/44694/
"08/27/2023, 6:00 PM","08/27/2023, 11:45 PM",N,46067,Worker,Arts & Crafts,Hosting and cleaning,Mazu Camp - Explore the Destiny,Mazu Camp - Explore the Destiny,https://www.art-dreams.com/2022-burningman.html,,https://playaevents.burningman.org/2023/playa_event/46067/
"08/27/2023, 6:00 PM","08/28/2023, 12:00 AM",Y,46055,Little Lesbian Lending Library,Miscellaneous,Come on by to pick up a good book or share one of your favorites! Trashy lesbian romance novels guaranteed.,Beaverton,Beaverton,http://www.campbeaverton.org,campbeaverton@gmail.com,https://playaevents.burningman.org/2023/playa_event/46055/
"08/28/2023, 6:00 PM","08/29/2023, 12:00 AM",Y,46055,Little Lesbian Lending Library,Miscellaneous,Come on by to pick up a good book or share one of your favorites! Trashy lesbian romance novels guaranteed.,Beaverton,Beaverton,http://www.campbeaverton.org,campbeaverton@gmail.com,https://playaevents.burningman.org/2023/playa_event/46055/
"08/29/2023, 6:00 PM","08/30/2023, 12:00 AM",Y,46055,Little Lesbian Lending Library,Miscellaneous,Come on by to pick up a good book or share one of your favorites! Trashy lesbian romance novels guaranteed.,Beaverton,Beaverton,http://www.campbeaverton.org,campbeaverton@gmail.com,https://playaevents.burningman.org/2023/playa_event/46055/
"08/30/2023, 6:00 PM","08/31/2023, 12:00 AM",Y,46055,Little Lesbian Lending Library,Miscellaneous,Come on by to pick up a good book or share one of your favorites! Trashy lesbian romance novels guaranteed.,Beaverton,Beaverton,http://www.campbeaverton.org,campbeaverton@gmail.com,https://playaevents.burningman.org/2023/playa_event/46055/
"08/31/2023, 6:00 PM","09/01/2023, 12:00 AM",Y,46055,Little Lesbian Lending Library,Miscellaneous,Come on by to pick up a good book or share one of your favorites! Trashy lesbian romance novels guaranteed.,Beaverton,Beaverton,http://www.campbeaverton.org,campbeaverton@gmail.com,https://playaevents.burningman.org/2023/playa_event/46055/
"09/01/2023, 6:00 PM","09/02/2023, 12:00 AM",Y,46055,Little Lesbian Lending Library,Miscellaneous,Come on by to pick up a good book or share one of your favorites! Trashy lesbian romance novels guaranteed.,Beaverton,Beaverton,http://www.campbeaverton.org,campbeaverton@gmail.com,https://playaevents.burningman.org/2023/playa_event/46055/
"09/02/2023, 6:00 PM","09/03/2023, 12:00 AM",Y,46055,Little Lesbian Lending Library,Miscellaneous,Come on by to pick up a good book or share one of your favorites! Trashy lesbian romance novels guaranteed.,Beaverton,Beaverton,http://www.campbeaverton.org,campbeaverton@gmail.com,https://playaevents.burningman.org/2023/playa_event/46055/
"08/27/2023, 6:00 PM","08/28/2023, 12:00 AM",Y,41188,Open Jam Session,Live Music,Bring an instrument or use ours & let's make some musical magic happen in the shade! All skill levels welcome.,Enchanted Booty Forest,Enchanted Booty Forest,,sparky@enchantedbootyforest.org,https://playaevents.burningman.org/2023/playa_event/41188/
"08/29/2023, 6:00 PM","08/30/2023, 12:00 AM",Y,41188,Open Jam Session,Live Music,Bring an instrument or use ours & let's make some musical magic happen in the shade! All skill levels welcome.,Enchanted Booty Forest,Enchanted Booty Forest,,sparky@enchantedbootyforest.org,https://playaevents.burningman.org/2023/playa_event/41188/
"09/01/2023, 6:00 PM","09/02/2023, 12:00 AM",Y,41188,Open Jam Session,Live Music,Bring an instrument or use ours & let's make some musical magic happen in the shade! All skill levels welcome.,Enchanted Booty Forest,Enchanted Booty Forest,,sparky@enchantedbootyforest.org,https://playaevents.burningman.org/2023/playa_event/41188/
